Month,Positive,Negative
Jan-23,458,190
Feb-23,786,420
Mar-23,189,92
Apr-23,834,467
May-23,2208,987
Jun-23,976,420
Jul-23,0,0
Aug-23,0,0
Sep-23,0,0
Oct-23,0,0
Nov-23,0,0
Dec-22,102,40
