Month,Positive,Negative
Jan-23,23,5
Feb-23,5,6
Mar-23,7,3
Apr-23,10,6
May-23,21,6
Jun-23,23,4
Jul-23,0,0
Aug-23,0,0
Sep-23,0,0
Oct-23,0,0
Nov-23,0,0
Dec-22,35,12
