Month,Positive,Negative
Jan-23,31,4
Feb-23,9,5
Mar-23,2,2
Apr-23,477,233
May-23,1694,723
Jun-23,927,391
Jul-23,0,0
Aug-23,0,0
Sep-23,0,0
Oct-23,0,0
Nov-23,0,0
Dec-22,0,0
