Month,Positive,Negative
Jan-23,22,8
Feb-23,28,13
Mar-23,15,3
Apr-23,16,10
May-23,18,3
Jun-23,0,0
Jul-23,0,0
Aug-23,0,0
Sep-23,0,0
Oct-23,0,0
Nov-23,0,0
Dec-22,27,7
